"subject_nr","PPList","Identical","Orientation1","Orientation2","Picture1","Picture2","response","correct","response_time","gender","year","month","fullscreen","File","opensesame_codename","opensesame_version","experiment_file"
1,"PP_LIST1.csv","Y","H","H","bookH.jpg","bookH.jpg","j",1,581,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","Y","H","H","batH.jpg","batH.jpg","j",1,381,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","F","F","F","sutcse.jpg","pumpkin.jpg","j",0,455,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","F","F","F","watch.jpg","skirt.jpg","f",1,756,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","F","F","F","wrench.jpg","piano.jpg","j",0,444,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","N","H","V","clothespinH.jpg","clothespinV.jpg","j",1,408,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","N","H","V","crayonH.jpg","crayonV.jpg","j",1,362,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","F","F","F","tiger.jpg","wndmil.jpg","j",0,260,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","F","F","F","spider.jpg","couch.jpg","j",0,238,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","Y","V","V","bowlV.jpg","bowlV.jpg","j",1,195,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","N","V","H","glassV.jpg","glassH.jpg","j",1,264,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","F","F","F","skirt.jpg","tlphon.jpg","j",0,184,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","N","V","H","ironV.jpg","ironH.jpg","j",1,224,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","F","F","F","mitten.jpg","needle.jpg","j",0,273,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","F","F","F","stove.jpg","ftball.jpg","j",0,239,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","F","F","F","trmpet.jpg","tapedispenser.jpg","j",0,280,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","N","H","V","caterpillarH.jpg","caterpillarV.jpg","j",1,214,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","F","F","F","nut.jpg","watch.jpg","j",0,260,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","Y","V","V","bottleV.jpg","bottleV.jpg","j",1,297,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","F","F","F","couch.jpg","spider.jpg","j",0,147,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","N","V","H","guitarV.jpg","guitarH.jpg","j",1,381,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","F","F","F","house.jpg","ring.jpg","j",0,279,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
